ru,en
финик,date fruit
мановение,beck
властность,imperiousness
тросточка,cane
ярок,
флакончик,
ключник,steward
визирь,vizier
регулировщик,traffic-controller
шовинизм,chauvinism
аюпов,
русофобия,
трудоспособность,ability to work
лимфа,lymph
замашка,
хламида,chlamys
исполин,giant
афинянин,Athenian
стек,riding-crop
мамелюк,Mameluke
жокей,jockey
бюджетник,public servant
дойка,milking
мнительность,hypochondria
оклик,hail
вычислитель,calculator
филателист,philatelist
консистория,consistory
просторечие,popular language
зарисовка,sketching
партбюро,
бронетехника,
транслятор,
делёж,sharing
кутерьма,commotion
жирность,
тепловоз,diesel locomotive
ищейка,bloodhound
проработка,studying
рейнджер,
чавканье,champing
послабление,indulgence
любимица,pet
социализация,socialization
гнус,mosquitoes
активизация,activization
упряжь,harness
психоаналитик,psychoanalyst
грубиян,rude fellow
искусник,past master
заимка,squatting
морс,juice
киска,pussy
терзание,torment
отставник,retired serviceman
кислотность,acidity
училка,teacher
середа,
вотум,vote
фугас,fougasse
иудаизм,Judaism
неготовность,
смак,relish
гиппопотам,hippopotamus
добытчик,bread-winner
колесник,wheel-wright
кювет,ditch
анонимка,libellous anonymous letter
предъявление,producing
штормовка,weatherproof jacket
туристка,
раскрой,
контрабас,double-bass
редактирование,editing
водоснабжение,water-supply
подвальчик,
вливание,infusion
ивняк,willow-bed
журнальчик,
фургончик,
рефлексия,
розалия,
рабовладелец,slave-holder
опала,disgrace
пупырышек,pimple
ястржембский,
исцеление,healing
неотвратимость,inevitability
переоценка,overestimation
боеспособность,
трио,trio
придыхание,aspiration
взморье,coastal waters
возобновление,renewal
мазанка,cottage of daub and wattle
пар,steam
кисея,muslin
зверюшка,
наследование,inheritance
стропа,
царизм,tsarism
оперуполномоченный,
выдра,otter
охра,ochre
демократизация,democratization
автостоянка,parking lot
вознесение,Ascension
побывка,leave
сошник,
деспот,despot
пенька,hemp
маслёнка,butterdish
рысак,trotter
анестезия,anaesthesia
геодезист,land-surveyor
ровесница,person of the same age
Сидней,
мета,
картечь,case-shot
долгушин,
турникет,turnstile
рейхстаг,Reichstag
вязка,binding
заготовитель,government purveyor
баптист,Baptist
увещевание,
драндулет,old dilapidated conveyance
одессит,
воздержание,abstention
рублик,
захолустье,back of beyond
отзывчивость,responsiveness
оркестрант,member of orchestra
гадёныш,
оскомина,
фактура,invoice
варка,cooking
табачник,tobacco-user
олицетворение,personification
преосвященство,
жинка,
оздоровление,improving from a health point of view
медкомиссия,
моторка,motor boat
буревестник,storm petrel
картёжник,card-player
монолит,monolith
икарус,
мелия,
мордашка,
полиэтилен,polyethylene
кузня,
скрепка,clip
мигрень,migraine
тушение,extinguishing
рекордсмен,record-holder
рубанок,plane
алтухов,
доносительство,sneaking
прослоек,
ущемление,pinch
лосьон,lotion
скирд,stack
саж,
пакостник,dirty dog
мазохизм,
недостача,lack
универсал,all-round craftsman
чистилище,purgatory
Забайкалье,
префектура,prefecture
бурундук,chipmunk
пациентка,patient
концентрат,concentrated product
Петрозаводск,
Челябинск,
раскулачивание,dispossession of kulaks
бухточка,cove
блокировка,block
авитаминоз,avitaminosis
зарубка,notch
кардиограмма,cardiogram
гайда,
щелкунчик,nutcracker
кумыс,koumiss
фамильярность,liberties
подлодка,submarine
кустарь,handicraftsman
загорск,
сляб,slab
генеральша,
брюква,swede
чабан,shepherd
набалдашник,knob
придирка,cavil
тын,paling
вмф,
дивчина,
обрезание,cutting
кобылица,
морт,
скуп,
отвлечение,abstraction
ужгород,Uzhgorod
радиоволна,radio-wave
колоннада,colonnade
искупление,expiation
Эскулап,Aesculapius
челядь,servants
нижегородец,
гурт,drove
фигаро,bolero
спецподразделение,
тромб,trombus
кабанчик,
краник,
утречко,
капилляр,capillary
инсценировка,dramatization
кабарга,musk-deer
полумесяц,half-moon
хвастун,boaster
двадцатка,
выключение,turning-off
делянка,allotment
нефрит,nephritis
репей,burdock
вепрь,wild boar
хром,chromium
шестерёнка,
диктовка,dictation
распутица,season of bad roads
миллиардер,billionaire
Махачкала,
прокламация,leaflet
гондола,gondola
наращивание,grafting
потемкина,
долголетие,longevity
овен,Aries
петропавловка,
изготовка,
ракетчик,rocketeer
тунгус,Tungus
обыденность,
великанша,giantess
васюков,
валуй,
озерцо,
пчёлка,
непримиримость,irreconcilability
крага,
пелевин,
ассенизатор,
образованщина,
пряность,spice
темечко,
тренажёр,trainer
тата,
хек,hake
восхваление,praising
археология,archaeology
шарфик,
прародитель,primogenitor
меморандум,memorandum
дискомфорт,discomfort
ракетоплан,rocket glider
гуляние,
эрика,
мзда,recompense
решка,tail
лужок,
автономия,autonomy
планёрка,planning meeting
мороженщик,ice-cream vendor
калейдоскоп,kaleidoscope
аттестация,attestation
маклер,broker
перевозчик,ferryman
зыкина,
пересуд,re-trial
стафилококк,staphylococcus
нацизм,nazism
вымогатель,extortioner
кожица,pellicle
чередование,alternation
слюнка,
канитель,gold thread
выпрямитель,rectifier
попона,horse-cloth
Татарстан,
автоответчик,answering machine
переутомление,overstrain
астория,
мишура,tinsel
шорник,harness-maker
инфицирование,
сепаратист,separatist
телец,Taurus
корь,measles
рубильник,knife-switch
Нагасаки,
затор,obstruction
сберкнижка,
метастаз,metastasis
гуманоид,
соты,honeycomb
доработка,revision
ненужность,
переустройство,reorganization
спорщик,debater
николо,
зело,very
ленинск,
серб,Serb
шаланда,scow
зыбь,swell
кочегарка,stoke-hole
колымага,heavy and unwieldy carriage
курятина,chicken
ква,
апломб,aplomb
драматизм,dramatic effect
импотенция,impotence
идейка,
зи,
дьячук,
паломничество,pilgrimage
махра,
гадливость,loathing
аббревиатура,abbreviation
житомир,
иноземец,foreigner
декольте,decollete
клюка,crutch
распространённость,prevalence
гуляш,goulash
хитон,tunic
телепрограмма,
длань,palm of hand
бурак,beetroot
киевлянин,person from Kyiv
берман,
коготок,
слайд,
шнуровка,lacing
браконьер,poacher
нервишки,
конвульсия,convulsion
холодец,jellied minced meat
ферзь,queen
нонсенс,
неповиновение,insubordination
наборщик,compositor
сонм,assembly
угрозыск,Criminal Investigation Department
бель,
маркетинг,marketing
заступ,spade
тальник,
миндаль,almonds
сухоруков,
герань,geranium
нефтепродукт,oil product
обезвоживание,
карманник,pickpocket
эластичность,elasticity
окрошка,okroshka
автомобильчик,
обличение,accusation
сеульский,
кошма,large felt mat
погонщик,driver
ленсовет,
неграмотность,illiteracy
лоботряс,idler
чепчик,night cap
терентьевич,
устрашение,frightening
орхидея,orchid
пересчёт,
алебарда,halberd
улан,uhlan
лозняк,willow bush
гост,GOST
артельщик,member of artel
превратность,wrongness
измышление,fabrication
сириус,Sirius
перемёт,seine
закром,corn-bin
пеленг,bearing
лепрозорий,hospital for lepers
ворс,nap
недоедание,malnutrition
пошехонец,country bumpkin
бобыль,poor landless peasant
халва,halva
рентабельность,profitability
учёность,learning
подлянка,
новокаин,novocaine
греча,buckwheat
навис,
воротила,big pot
республиканец,republican
Владикавказ,
больничка,
лавчонка,
можжевельник,juniper
депортация,deportation
одурь,stupor
незабудка,forget-me-not
фобия,phobia
крылатка,
пирайя,
накипь,scum
Липецк,
предусмотрительность,foresight
уголья,
гогот,cackle
замочка,
нищенка,beggar-woman
острога,fish-spear
дьякон,deacon
пенс,penny
ночлежка,
актау,
сагайдак,
задор,fervour
африканец,African
прибаутка,facetious saying
воительница,fighter
спель,
самоцель,end in itself
пленница,prisoner
времяпрепровождение,pastime
карапуз,tot
насыщение,satiation
боржоми,Borzhomi
нытьё,whining
кипу,
басок,mellow bass voice
запевала,leader
маховик,fly-wheel
взгорок,
циркач,acrobat
зенитчик,anti-aircraft gunner
норвежец,Norwegian
комбинатор,schemer
сопрано,soprano
отбивной,cutlet
национализация,nationalization
коклюш,hooping-cough
отсечение,cutting off
холдинг,holding company
самокритика,self-criticism
чудачество,crankiness
скепсис,scepsis
сверхсрочник,
резервация,reservation
мчс,Ministry of Emergency Situations
средоточие,focus
уникальность,
летучка,pappus
брикет,briquette
бобок,
индюшка,turkey
Якутия,
плагиат,plagiarism
перчик,
выслуга,
горловина,mouth
оливка,olive
инакомыслие,
провидец,seer
пермь,
моссовет,Moscow Soviet
пьянчуга,sot
эротика,sensuality
пионерлагерь,
автолюбитель,motor-car enthusiast
голуба,
успеваемость,progress
декоратор,decorator
фок,foresail
ипостась,
аэробус,air-bus
оболтус,blockhead
доброхот,
проекция,projection
интернационалист,internationalist
нарзан,Narzan
девичество,girlhood
цдл,
хлеборезка,
многотиражка,factory newspaper
галдёж,hubbub
боулдер,
беспощадность,mercilessness
прагматик,
ют,quarter-deck
отморозок,scumbag
кавалькада,cavalcade
обжигала,
тверь,
иена,yen
искоренение,eradication
потапенко,
кружение,going round
политэкономия,political economy
обод,rim
вешка,landmark
покачивание,
фифа,
замдиректора,
шалман,
торф,peat
жермен,
дублёр,understudy
эмират,
офицерик,
подпоручик,second lieutenant
рубашечка,
стимулятор,stimulant
каскадёр,stuntman
ботфорт,
романист,novelist
охотница,
когорта,cohort
мелодрама,melodrama
прогул,truancy
анфилада,suite
титр,titre
самоуничтожение,self-destruction
сжигание,burning
порка,flogging
совершеннолетие,majority
подагра,gout
вензель,monogram
выращивание,
оксфорд,
кулачище,
стека,
кобылка,young mare
тавда,
жертвоприношение,offering
Босния,
Вельзевул,
осинка,
метёлка,whisk
стрелочка,
оливье,popular salad dish for new year
подорожник,plantain
сиротка,
валерьяна,valerian
берданка,Berdan rifle
баклажан,egg-plant
брёвнышко,
стрептококк,streptococcus
снегоход,snow-tractor
кайзер,
галун,galloon
чуйка,
листопад,autumn fall of the leaves
автовокзал,bus station
финт,trick
треуголка,cocked hat
поверье,popular belief
гипофиз,
дождичек,
расслабление,Relax
глоточек,
светляк,glow-worm
руководительница,
грибочек,
гарант,guarantor
олигархия,oligarchy
ларсен,
джи,
семилетка,seven-year school
вафля,wafer
зев,pharynx
имярек,so-and-so
ассигнование,assignation
чурбак,
павловск,
стилет,stiletto
репка,
сандвич,sandwich
детдомовец,
аннотация,annotation
зёва,
ценник,price-list
кружечка,
дезертирство,desertion
минарет,minaret
сторожиха,female watchman
свирепость,fierceness
внуково,
экзекуция,corporal punishment
артполк,
дерматит,
некомпетентность,incompetence
счастие,
искуситель,tempter
розвальни,rozvalni
замещение,substitution
оптик,optician
щёточка,
отливка,casting
безвкусица,bad taste
патологоанатом,
лампада,icon-lamp
притягательность,attractiveness
сладострастие,voluptuousness
пунктик,eccentricity
ушат,tub
бусинка,head
перевооружение,rearmament
сурьма,antimony
климакс,
воззвание,appeal
комбайнер,combine operator
приязнь,friendliness
поводырь,leader
хандра,spleen
коновязь,hobble
хрящ,cartilage
пистолетик,
соя,soy-bean
планетка,
химчистка,dry-cleaning
минздрав,
шарада,charade
фат,fop
блуждание,roaming
лепта,mite
прель,rot
гидра,hydra
вдохновитель,inspirer
клон,
экзарх,
посул,promise
кондиция,standard
штукатур,plasterer
прялка,distaff
верньер,
серпантин,paper streamer
заболеваемость,morbidity
авансцена,proscenium
строчила,
бесправие,lawlessness
нырок,pochard
бандформирование,
Симферополь,
слабина,slack
конгрессмен,Congress-man
улавливание,
бобик,
харт,
протеже,protege
войлок,thick felt
побрякушка,liar / trinket
коррида,corrida
тестирование,testing
ямщик,coachman
молитвенник,prayer-book
зуммер,buzzer
профи,pro
осётр,sturgeon
вожатая,
опий,
талер,thaler
экспортёр,exporter
пту,
госплан,Gosplan
раритет,rarity
лукойл,
кибитка,kibitka
рекрут,recruit
хадж,Hadji
рушник,
эпидермис,epidermis
капельмейстер,bandmaster
интриган,intrigant
учащение,
ломовой,dray
психотерапевт,psychotherapist
цианоз,cyanosis
похоронка,
Карабах,
сосунок,suckling
голодранец,ragamuffin
петиция,petition
астрология,astrology
послесловие,epilogue
обиняк,
довесок,makeweight
дерматин,leatherette
помол,grinding
миокардит,myocarditis
кубанка,kind of wheat
попрошайка,beggar
членство,membership
монограмма,monogram
амёба,amoeba
арлекин,harlequin
неприличие,indecency
парилка,steam room
газданов,
растворитель,solvent
золотишко,
ряска,duckweed
переросток,over-age juvenile
антагонизм,antagonism
тюря,turia
билетёрша,ticket collector
аневризма,aneurism
кашица,thin gruel
шуруп,screw
пышность,splendour
желобок,groove
увертюра,overture
кушак,sash
скиталец,wanderer
нпо,
кунг,
загул,
безрассудство,rashness
синька,blue
вермут,vermouth
новатор,innovator
зеленогорск,
лейка,watering-can
звоночек,bell
гастролёр,casual worker
удерж,
Хиросима,
телепат,telepathy
шлягер,hit song
регулировка,
чертог,hall
бульб,
салазки,sledge
туран,
эрудит,erudite person
секундант,second
рвань,rags
винница,
эллада,
клавесин,clavecin
дифференциация,differentiation
понг,
коррозия,corrosion
матерь,
бриония,
пасьянс,Solitaire
жизнеописание,biography
табунщик,horse-herd
касательство,connection
ущербность,
лозанна,
тачанка,
контры,dissent
стяг,banner
посошок,one for the road
карбункул,carbuncle
паутинка,
облачение,robing
штрафник,
рядно,
болтливость,garrulity
данность,
предсердие,auricle
протоиерей,archpriest
подобострастие,servility
энергоснабжение,
посетительница,visitor
вектор,vector
хихиканье,giggling
студебеккер,
саксаул,haloxylon
самохвал,
алоэ,aloe
плавничок,
подноготная,the whole truth
сожжение,burning
грибница,mycelium
итальянка,Italian woman
здравица,toast
манишка,shirtfront
корректировка,
шифровальщик,cipher officer
подношение,present
Абакан,
надув,
старушенция,
прогалина,glade
матросик,
невидаль,
первопричина,
молох,
слышимость,audibility
зоря,dawn
протон,proton
калька,tracing-paper
витаминотерапия,
подвижник,devotee
подснежник,snowdrop
народовластие,democracy
грешок,fault
окова,
лопаточка,
химки,
полис,policy
рей,yard
креслице,
поджигатель,incendiary
перепел,quail
кибернетик,cyberneticist
партитура,score
диурез,
провоз,transport
киноактёр,film actor
безденежье,impecuniousness
узкоколейка,narrow-gauge railway
задумка,
невнимание,lack of attention
тать,
кряж,mountain-ridge
коллизия,collision
наложница,concubine
моралист,moralist
тля,plant-louse
фотокорреспондент,photographer
гидростанция,hydroelectric power station
неурожай,bad harvest
упругость,elasticity
профан,ignoramus
архаровец,ruffian
неувязка,discrepancy
подписчик,subscriber
стрекотание,chirring
рюкзачок,
стихотворец,poet
сказ,tale
администраторша,
пререкание,argument
пацанёнок,
колет,
расхититель,plunderer
опустошение,devastation
Курск,
вместилище,receptacle
заваруха,turmoil
плоскостопие,flat-footedness
водоканал,
стрекот,chirr
упущение,omission
плебей,plebeian
ноутбук,laptop
вакцинация,vaccination
срабатывание,
подмен,
отработка,working off
бесчинство,excess
сбс,
пламень,flame
сена,
балкончик,
коренья,roots
доступность,accessibility
подводник,submariner
поделка,odd job
каракатица,cuttle
затычка,plug
семьянин,family man
сельдь,herring
хамелеон,chameleon
избранница,the chosen one
ортодокс,orthodox person
негодность,unfitness
йогурт,yoghurt
главбух,
сальто,somersault
замоскворечье,
музыковед,music expert
рукоприкладство,assault and battery
кузен,cousin
хохмач,
остолоп,blockhead
нимфа,nymph
лгун,liar
вышивальщица,embroideress
есаул,esaul
волосик,
безмятежность,serenity
развратник,debauchee
долото,chisel
госкомитет,
симптоматика,symptomatology
трамплин,spring-board
витраж,stained-glass window
дебаркадер,landing-stage
подспорье,help
умывание,washing
сказание,story
дилер,
искание,search
трилобит,
хозблок,
ляд,
датчанин,Dane
товарка,friend
восприимчивость,receptivity
туша,carcass
галёрка,gallery
жрица,priestess
сырок,cheese curd
посудомойка,
бельгиец,Belgian
мкад,
трясогузка,wagtail
драйвер,
киномеханик,cinema operator
движенье,
меломан,music lover
прерогатива,prerogative
экономка,housekeeper
графит,graphite
дефекация,
забулдыга,debauchee
выдвиженец,worker promoted to an administrative post
эмансипация,emancipation
лапища,
занесение,recording
ольшаник,alder thickets
дубровка,
дрожки,droshky
скверна,filth
рационализация,rationalization
вербовщик,recruiter
чистильщик,
стетоскоп,stethoscope
керосинка,oil-stove
концентратор,
смягчение,softening
откуп,farming
зодчий,architect
абвер,
баянист,bayan-player
часовщик,watchmaker
брокер,
портниха,dressmaker
энцефалит,encephalitis
пума,puma
шесток,hearth
энергосистема,power system
переохлаждение,becoming too cold
налим,burbot
анафема,anathema
вымирание,dying out
полисмен,policeman
компетентность,competence
саван,shroud
зачисление,enrollment
причастие,participle
вкладка,supplementary sheet
сорванец,a terror
постукивание,
маскхалат,
перекос,warp
небожитель,
библиография,bibliography
фонограмма,phonogram
взрывник,shotfirer
праматерь,the original mother
консорциум,consortium
прокорм,nourishment
ягель,
нечистота,dirtiness
палдиски,
усложнение,complication
опережение,outstripping
занос,skidding
андрон,
чудик,nerd
кембридж,
просо,millet
сизиф,
горностай,ermine
лукошко,bast-basket
категоричность,
смоковница,fig-tree
тюрбан,turban
дрейф,drift
поселенец,settler
нолик,
нейрон,neuron
политолог,Political Scientist
селекция,selection
заколка,hair-pin
старшинство,seniority
амфитеатр,amphitheatre
обладательница,
аллейка,
метроном,metronome
простатит,
отправитель,sender
змий,
совладелец,
оттяжка,delay
палица,club
слом,pulling down
ятаган,yataghan
открыватель,
нафталин,naphthalene
мукомол,miller
разносчик,pedlar
пестрота,diversity of colours
парашютистка,parachute jumper
горбинка,
столярка,
рахит,rachitis
пешня,ice-pick
березняк,birch wood
доминанта,dominant
письмена,characters
вдрызг,
олим,
эфедрин,
подпевала,yes-man
усилитель,intensifier
безветрие,calm
джей,
эпителий,epithelium
ламут,
Конго,
искривление,bend
задирала,
писательство,
моторчик,
списание,
ажур,open-work
зеландия,
хрипотца,
индуктор,inductor
пончик,doughnut
конвертик,
неясыть,tawny owl
народишко,
недоросль,minor
поветь,
аллюр,pace
провозглашение,proclamation
тархан,
охотка,
Брянск,
мосье,
полиграф,
трембита,
расходование,expense
ремарка,stage direction
микрофлора,
вандал,Vandal
крат,
Магнитогорск,
усач,man with a big moustache
фапси,
аксессуар,accesory
горсточка,handful
прищеп,
черешня,cherries
тихоня,a goody-goody
подрывник,member of demolition squad
запруда,dam
единодушие,unanimity
инкубатор,incubator
стенание,groan
жизнеобеспечение,life-support
выя,neck
траулер,trawler
купа,
реферат,abstract
невольник,slave
погрешность,error
повеса,rake
гомосексуализм,homosexuality
человеколюбие,philanthropy
перепой,
отторжение,tearing away
удалец,dare-devil
пос,
ступка,
водораздел,watershed
недоносок,prematurely born child
развалюха,car
пружинка,mainspring
отбытие,departure
анвар,
нарост,outgrowth
паяц,clown
фигурист,figure skater
валькирия,
носоглотка,nasopharynx
тезаурус,thesaurus
противень,griddle
подосиновик,orange-cap boletus
той,
курсив,italic type
створ,range
пассат,trade-wind
вольера,open-air cage
вт,
поголовье,
адресок,
перси,
снеговик,Snowman
дрессировка,training
дестабилизация,
арзамас,
плацента,placenta
луковка,
обжорство,gluttony
планетолог,
замша,suede
пудинг,pudding
кадиллак,
ёрш,ruff
мрачность,gloom
балласт,ballast
шваль,riff-raff
балагур,joker
расизм,racism
заморыш,starveling
канна,
разгильдяйство,slovenliness
множественность,plurality
полотёр,floor-polisher
бескозырка,peakless cap
песнопение,psalm
целеустремлённость,purposefulness
горелка,burner
эпилептик,epileptic
расчистка,clearing
манна,manna
Запорожье,
фингал,
баллончик,
омертвение,
дзот,
протоплазма,protoplasm
батог,rod
калин,
тоника,tonic
четверостишие,quatrain
морок,
релиз,
измаил,
порожняк,empties
общественник,public man
отрешённость,estrangement
бездорожье,lack of roads
самореализация,
шампур,
сверхдержава,
россказни,cock-an-bull story
куличок,
еврейство,the Jews
трансмиссия,transmission
гаечка,
кемпинг,camping-site
сиг,sig
крапивница,small tortoise-shell
своеволие,self-will
залежь,deposit
упрямец,pighead
таганрог,
подреберье,
лоция,sailing directions
сдерживание,
ангелочек,cherub
проконсул,proconsul
брандмауэр,firewall
потрескивание,crackle
складочка,
жалование,salary
медиум,medium
конфессия,
ящерка,
затопление,flood
порицание,blame
копь,
шелковица,mulberry
парник,hotbed
неуклюжесть,clumsiness
фуршет,
анализатор,analyser
Киото,
рыбарь,
кровушка,blood
Марокко,
сунжа,
блиц,
форвард,forward
газировка,aeration
фиаско,fiasco
простынка,
самодержавие,autocracy
деверь,brother-in-law
кровоток,
симбирск,
жеребёнок,foal
точильщик,grinder
дротик,dart
новгородец,Novgorod
сласть,pleasure
Эфиопия,
перегиб,bend
эпос,epos
укрывательство,
немощь,infirmity
брошюрка,
кантон,canton
городьба,
оппозиционер,member of the opposition
бодяга,freshwater sponge
провинность,fault
катафалк,catafalque
уклонение,deviation
сардина,pilchard
воздуховод,
расслоение,exfoliation
буг,
выравнивание,smoothing
теология,
ракетница,flare pistol
эмульсия,emulsion
мураш,small ant
стенолом,
индиец,Indian
попустительство,always allowing
взломщик,housebreaker
альпинизм,Alpinism
вертолётчик,helicopter-pilot
профессура,professorship
минор,minor key
самодержец,autocrat
бювар,blotting-pad
мироощущение,attitude
злодейка,villain
гиви,
лохань,tub
хлорка,
аффект,fit of passion
стриж,swift
смутьян,trouble-maker
разнарядка,order
фоменко,
колит,colitis
замер,
нечистоты,sewage
короста,scab
аоот,
колонизация,colonization
субсидия,subsidy
ступор,stupor
бухара,
сивуха,raw vodka
кабала,kabala
праздность,idleness
грызня,fight
марганцовка,manganese crystals
пролежень,bedsore
блокадник,
ковы,
противоречивость,contradictory nature
мулат,mulatto
сван,
ледоход,
форс,swagger
сельцо,
сверхчеловек,superman
суррогат,substitute
конферансье,compere
фронтон,pediment
определитель,determinant
пропись,samples of writing
манипулятор,manipulator
морзянка,Morse code
хромота,lameness
гравитация,gravitation
японка,Japanese woman
флейтист,flutist
расслабленность,
кутузка,lock-up
цилиндрик,
тумак,cuff
рожица,
корсет,stays
навигатор,navigator
нейролептик,
пионерка,
гунн,Hun
предоплата,
гражданочка,
манто,opera-cloak
рикша,ricksha
брифинг,
портфельчик,
лань,fallow-deer
отупение,stupefaction
сватовство,matchmaking
нерезидент,
мята,mint
обновка,
созвучие,accord
мякина,chaff
шериф,sheriff
скиф,Scythian
покашливание,
практикантка,probationer
встряска,shaking
одногодок,
антимир,antiworld
разглашение,divulging
паучок,
приступок,step
тромбоз,thrombosis
тарарам,hullaballoo
хлебороб,grain-grower
баш,
порубка,
нелепица,
волхв,soothsayer
юриспруденция,jurisprudence
зачётка,record-book
отговорка,excuse
шпик,salted pork fat
стерлядь,sterlet
озлобление,bitterness
липка,
головоломка,puzzle
маргарин,margarine
самообман,self-deception
треба,occasional religious rite
ясень,ash-tree
центурион,centurion
ливрея,livery
запоздание,lateness
пышка,puff
чувственность,perceiving
чемпионка,female champion
жмот,miser
святилище,sanctuary
ротозей,gawk
звонарь,bell-ringer
мытищи,
пигментация,pigmentation
мус,
пасс,pass
натр,natron
постановщик,producer
халупа,peasant house
доплата,
карнеги,
ладушка,
косилка,mowing-machine
гашетка,trigger
авиалиния,airline
гладиолус,gladiolus
чертёнок,imp
медперсонал,
гик,
туника,tunic
полип,polyp
лесозаготовка,
бесцеремонность,unceremoniousness
холстина,unbleached linen
астронавт,astronaut
трезвенник,teetotaller
полтава,
честолюбец,ambitious man
думка,Ukrainian folksong
морфин,
вскармливание,feeding
брюквина,
грунтовка,priming
автопилот,
шатенка,brown-haired person
самоцвет,semi-precious stone
гранатомётчик,grenade-thrower
брожение,fermentation
протектор,protector
домкрат,jack
подслушивание,
богадельня,almshouse
хаус,
цикля,
наседка,
городище,large city
тупичок,
неторопливость,
мазохист,
метеостанция,
сплавщик,raftsman
кодла,
монашек,
церковник,church-goer
твист,twist
таксофон,
бесёнок,imp
отребье,the rabble
кровоснабжение,
разговорник,phrase-book
погранзастава,
требуха,entrails
присыпка,sprinkling
гималаи,
рыльце,stigma
физиотерапия,physiotherapy
ривьера,
эскимо,choc-ice
судёнышко,
умишко,
юношество,young people
маки,
неврастеник,neurasthenic
печник,stove-setter
кавасаки,
мордоворот,
элегантность,elegance
дотация,grant
хасавюрт,
мексиканец,Mexican
разграничение,differentiation
щекотка,tickling
чуланчик,
кинооператор,camera-man
лесопилка,sawmill
работка,
бесполезность,uselessness
никчёмность,
чёлочка,
обрамление,frame
мегалополис,
кнехт,bitts
недомолвка,reservation
крынка,earthenware pot
шарканье,shuffling
червончик,
кореянка,Korean woman
каф,
кипятильник,immersion heater
треста,
пароксизм,paroxysm
термодинамика,thermodynamics
сожительство,cohabitation
жасмин,jasmin
эмбарго,embargo
дребезг,
срочность,urgency
лучок,
мореход,
междоусобица,
одеяльце,
удушение,suffocation
хлюпик,ninny
хлястик,strap
сепаратизм,separatism
софт,
румяна,rouge
замах,
апелляция,appeal
самоуправство,arbitrariness
роттердам,
сапрыкина,
пахота,tillage
иды,Ides
лобок,pubis
долгоносик,weevil
Днепропетровск,Dnipropetrovsk
лепка,modelling
перманганат,
несовместимость,incompatibility
миазмы,miasma
самосуд,mob law
комполка,
предсказатель,foreteller
существительное,a noun
герпес,
словеса,
номинал,face value
централизация,centralization
лобан,
молодуха,young married woman
звяканье,tinkling
лян,
недотёпа,blunderer
манипулирование,
протестант,Protestant
предыстория,
околыш,cap-band
семафор,semaphore signal post
мизер,
альфонс,
мельхиор,cupronickel
думец,
кишлак,kishlak
барсук,badger
терпентин,turpentine
телодвижение,bodily movement
проворство,quickness
перламутр,mother-of-pearl
нравоучение,lecture
тормашки,
утёнок,duckling
треножник,tripod
скарлатина,scarlet fever
половичок,
парламентёр,truce envoy
считыватель,
истязание,torture
шарм,charm
недолга,
расстрига,unfrocked monk
кариатида,caryatid
плут,cheat
макрос,
деспотизм,despotism
иол,
волокуша,
гармоника,accordion
напраслина,wrongful accusation
диаспора,
зоркость,vigilance
естествознание,science
иванушкин,
людоедство,cannibalism
перехватчик,interceptor
шарнир,hinge
распространитель,spreader
буддист,Buddhist
мужественность,manliness
дилемма,dilemma
ненормальность,abnormality
каунас,
кубанец,
прикидка,
забрало,visor
подстаканник,glass-holder
подольск,
росомаха,glutton
одёжа,clothes
скрытность,reserved character
райотдел,
кедровка,
сперматозоид,spermatozoon
рефлектор,reflector
взяточничество,bribery
телятник,calf-house
ликбез,campaign for abolishing illiteracy
растерзание,
охи,
киноварь,cinnabar
проформа,formality
селёдочка,
стамеска,chisel
байконур,
рувд,
истец,plaintiff
модернист,modernist
металлист,metal-worker
экспроприация,expropriation
софит,
чувяк,
мимикрия,mimicry
лука,pommel
церковка,
эфа,
коммивояжёр,commercial traveller
антарктика,the Antarctic
пацифист,pacifist
Калининград,
загляденье,lovely sight
дикторша,
нигилизм,nihilism
попечитель,trustee
богатей,
нитрат,nitrate
прибавление,addition
гоби,
зипун,homespun coat
макака,macaque
зарок,vow
каретка,carriage
сёмга,salmon
паразитизм,parasitism
пугач,toy-pistol
народонаселение,population
ацетон,acetone
подметала,
неотложка,ambulance
лошадёнка,
негодник,mischievous person
казачество,the Cossacks
оповещение,notification
прогрессирование,
перловка,
демьян,
пиала,drinking bowl
самообслуживание,self-service
кокпит,
зоолог,zoologist
воспитанница,pupil
неуместность,irrelevance
подтёк,bruise
люберцы,
бутырки,
фабула,plot
речитатив,recitative
силин,
незадача,ill luck
новообразование,new formation
усмешечка,
обвод,enclosing
бразда,reign (horse)
зыбка,cradle
растопка,lighting
пшик,nothing
белецкая,
коленце,
каталь,
наёмница,
пустячок,
концессия,concession
ловкач,dodger
антисоветчина,
щепоть,pinch
старатель,prospector
охват,scope
Краков,
первоклассник,first-form boy
карболка,carbolic acid
толстовка,hoody
правдоискатель,
ребус,rebus
дрозофила,
похолодание,fall of temperature
паводок,freshet
торнадо,Tornado
кукурузник,
политинформация,report on recent home and international events
орошение,irrigation
хапуга,thief
зубрило,
капитоновна,
епархия,diocese
живучесть,vitality
фурманка,
каланча,watch-tower
цок,
фарт,luck
лиска,
баловень,pet
истолкование,interpretation
аппендикс,appendix
предзнаменование,omen
кортикостероид,
тартарары,
Турин,
инкассатор,collector
балдахин,canopy
аскет,ascetic
тесьма,braid
шиллинг,shilling
сквознячок,
перепродажа,resale
биль,
